Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-05-19 07:12:32,false,"Rusko Pyöräily","23,48","630","01:05:29","134","175","4,2","--","--","21,5","31,8","87","120","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","15,0","0:00","No","21:19.23","3","28,0","01:03:10","01:05:29","110","169"
Cycling,2023-05-11 16:30:54,false,"Turku Pyöräily","24,27","543","01:11:47","117","140","2,7","--","--","20,3","44,9","109","92","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","25,0","0:00","No","00:33.95","4","27,0","01:05:19","01:11:47","70","111"
Cycling,2023-05-11 07:09:27,false,"Rusko Pyöräily","23,67","591","01:02:34","126","149","4,1","--","--","22,7","33,9","92","119","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","15,0","0:00","No","20:40.00","3","27,0","01:02:21","01:02:34","75","128"
Cycling,2023-05-09 16:09:44,false,"Turku Pyöräily","23,70","499","01:05:06","115","150","3,1","--","--","21,8","44,2","109","86","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","22,0","0:00","No","18:21.90","3","26,0","01:03:02","01:05:06","70","114"
Cycling,2023-05-09 06:53:52,false,"Rusko Pyöräily","23,87","593","01:08:46","127","165","3,5","--","--","20,8","31,2","89","195","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","15,0","0:00","No","22:05.05","3","26,0","01:06:53","01:08:46","38","96"
Cycling,2023-05-06 15:57:24,false,"Rusko Pyöräily","10,93","172","00:35:03","93","117","1,4","--","--","18,7","38,7","62","43","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","16,0","0:00","No","10:56.22","2","20,0","00:33:15","00:35:03","30","60"
Cycling,2023-05-06 14:55:55,false,"Rusko Pyöräily","12,21","324","00:58:35","103","136","2,2","--","--","12,5","31,4","43","140","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","18,0","0:00","No","25:24.17","2","27,0","00:43:44","00:58:35","29","63"
Cycling,2023-05-04 10:40:39,false,"Rusko Pyöräily","10,68","256","00:32:10","114","138","2,6","--","--","19,9","39,0","60","45","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","08:00.41","2","21,0","00:31:45","00:32:10","28","55"
Cycling,2023-05-04 09:50:46,false,"Rusko Pyöräily","10,64","225","00:32:08","109","126","2,1","--","--","19,9","31,1","42","62","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","16,0","0:00","No","09:49.67","2","26,0","00:29:41","00:32:08","108","142"
Cycling,2023-05-01 10:11:56,false,"Rusko Pyöräily","34,68","557","01:40:35","102","139","2,4","--","--","20,7","41,0","143","193","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","20,0","0:00","No","07:01.87","5","28,0","01:37:50","03:43:58","134","176"
Indoor Cycling,2023-04-27 18:36:36,false,"Sisäpyöräily","0,00","314","00:50:05","103","126","2,2","--","--","--","--","--","--","0,00","0,0","0,0","0","60","70","0,0","0","0","0,0","0,0","3047","0","0","0","0:00","25,0","0:00","No","50:04.92","1","29,0","00:00:00","00:50:05","173","173"
Indoor Cycling,2023-04-23 17:54:30,false,"Sisäpyöräily","0,00","338","00:50:26","107","119","2,3","--","--","--","--","--","--","0,00","0,0","0,0","0","64","72","0,0","0","0","0,0","0,0","3234","0","0","0","0:00","28,0","0:00","No","50:25.89","1","31,0","00:00:00","00:50:26","207","207"
Indoor Cycling,2023-04-13 17:42:48,false,"Sisäpyöräily","0,00","410","00:46:03","120","141","3,6","--","--","--","--","--","--","0,00","0,0","0,0","0","66","75","0,0","0","0","0,0","0,0","3069","0","0","0","0:00","29,0","0:00","No","46:02.61","1","30,0","00:00:00","00:46:03","182","182"
Indoor Cycling,2023-03-26 17:42:49,false,"Sisäpyöräily","0,00","307","00:42:01","109","128","2,3","--","--","--","--","--","--","0,00","0,0","0,0","0","63","71","0,0","0","0","0,0","0,0","2689","0","0","0","0:00","26,0","0:00","No","42:01.37","1","28,0","00:00:00","00:42:01","163","163"
Indoor Cycling,2023-03-19 14:53:08,false,"Sisäpyöräily","0,00","472","01:01:04","114","132","2,8","--","--","--","--","--","--","0,00","0,0","0,0","0","57","68","0,0","0","0","0,0","0,0","3470","0","0","0","0:00","26,0","0:00","No","01:01:04.34","1","29,0","00:00:00","01:01:04","168","168"
Indoor Cycling,2023-03-05 17:56:41,false,"Sisäpyöräily","0,00","214","00:35:03","101","113","2,0","--","--","--","--","--","--","0,00","0,0","0,0","0","59","72","0,0","0","0","0,0","0,0","2084","0","0","0","0:00","25,0","0:00","No","35:02.58","1","26,0","00:00:00","00:35:03","136","136"
Indoor Cycling,2023-03-02 19:20:46,false,"Sisäpyöräily","0,00","408","00:48:01","117","145","3,3","--","--","--","--","--","--","0,00","0,0","0,0","0","64","74","0,0","0","0","0,0","0,0","3092","0","0","0","0:00","26,0","0:00","No","48:00.76","1","28,0","00:00:00","00:48:01","121","121"
Indoor Cycling,2023-02-09 17:57:06,false,"Sisäpyöräily","0,00","411","01:05:57","107","129","2,3","--","--","--","--","--","--","0,00","0,0","0,0","0","59","66","0,0","0","0","0,0","0,0","3834","0","0","0","0:00","25,0","0:00","No","01:05:56.70","1","27,0","00:00:00","01:05:57","398","398"
Indoor Cycling,2023-02-05 17:50:17,false,"Sisäpyöräily","0,00","335","01:01:27","99","120","2,1","--","--","--","--","--","--","0,00","0,0","0,0","0","64","75","0,0","0","0","0,0","0,0","3960","0","0","0","0:00","25,0","0:00","No","01:01:26.82","1","29,0","00:00:00","01:01:27","367","367"
Indoor Cycling,2023-02-02 18:20:32,false,"Sisäpyöräily","0,00","310","00:43:15","108","128","2,5","--","--","--","--","--","--","0,00","0,0","0,0","0","64","76","0,0","0","0","0,0","0,0","2775","0","0","0","0:00","25,0","0:00","No","43:15.26","1","27,0","00:00:00","00:43:15","389","389"
Indoor Cycling,2023-01-29 17:54:06,false,"Sisäpyöräily","0,00","322","01:00:33","114","136","2,1","--","--","--","--","--","--","0,00","0,0","0,0","0","61","78","0,0","0","0","0,0","0,0","3729","0","0","0","0:00","26,0","0:00","No","01:00:32.63","1","29,0","00:00:00","01:00:33","-70","-70"
Indoor Cycling,2023-01-26 18:40:48,false,"Sisäpyöräily","0,00","258","00:50:06","112","132","1,9","--","--","--","--","--","--","0,00","0,0","0,0","0","65","76","0,0","0","0","0,0","0,0","3293","0","0","0","0:00","26,0","0:00","No","50:05.71","1","28,0","00:00:00","00:50:06","-103","-91"
Indoor Cycling,2023-01-21 16:36:24,false,"Sisäpyöräily","0,00","351","00:45:11","132","148","2,6","--","--","--","--","--","--","0,00","0,0","0,0","0","66","85","0,0","0","0","0,0","0,0","2973","0","0","0","0:00","24,0","0:00","No","45:11.25","1","27,0","00:00:00","00:45:11","-113","-113"
Indoor Cycling,2023-01-13 17:26:26,false,"Sisäpyöräily","0,00","253","00:40:06","119","138","2,0","--","--","--","--","--","--","0,00","0,0","0,0","0","75","84","0,0","0","0","0,0","0,0","3031","0","0","0","0:00","24,0","0:00","No","40:05.91","1","28,0","00:00:00","00:40:06","71","71"
Indoor Cycling,2022-12-29 17:06:44,false,"Sisäpyöräily","0,00","282","00:52:04","116","134","2,0","--","--","--","--","--","--","0,00","0,0","0,0","0","68","78","0,0","0","0","0,0","0,0","3545","0","0","0","0:00","25,0","0:00","No","52:04.44","1","27,0","00:00:00","00:52:04","121","121"
Indoor Cycling,2022-11-20 19:18:00,false,"Sisäpyöräily","0,00","190","00:41:32","95","194","1,8","--","--","--","--","--","--","0,00","0,0","0,0","0","57","71","0,0","0","0","0,0","0,0","2401","0","0","0","0:00","25,0","0:00","No","41:31.96","1","26,0","00:00:00","00:41:32","46","46"
Indoor Cycling,2022-11-06 16:52:57,false,"Sisäpyöräily","0,00","172","00:31:19","101","126","1,7","--","--","--","--","--","--","0,00","0,0","0,0","0","66","83","0,0","0","0","0,0","0,0","1996","0","0","0","0:00","27,0","0:00","No","31:19.28","1","28,0","00:00:00","00:31:19","83","83"
Indoor Cycling,2022-11-03 18:30:21,false,"Sisäpyöräily","0,00","431","00:51:11","121","140","3,3","--","--","--","--","--","--","0,00","0,0","0,0","0","70","77","0,0","0","0","0,0","0,0","3602","0","0","0","0:00","27,0","0:00","No","51:11.27","1","30,0","00:00:00","00:51:11","67","67"
Indoor Cycling,2022-10-30 17:45:29,false,"Sisäpyöräily","0,00","619","01:14:06","123","140","3,3","--","--","--","--","--","--","0,00","0,0","0,0","0","69","83","0,0","0","0","0,0","0,0","5064","0","0","0","0:00","27,0","0:00","No","01:14:06.35","1","31,0","00:00:00","01:14:06","43","43"
Indoor Cycling,2022-10-16 19:18:39,false,"Sisäpyöräily","0,00","321","00:31:38","136","154","3,8","--","--","--","--","--","--","0,00","0,0","0,0","0","73","89","0,0","0","0","0,0","0,0","2315","0","0","0","0:00","28,0","0:00","No","31:37.99","1","30,0","00:00:00","00:31:38","51","51"
Cycling,2022-09-23 16:47:30,false,"Turku Pyöräily","23,84","606","01:10:00","130","167","3,6","--","--","20,4","32,7","114","92","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","17,0","0:00","No","21:44.08","3","26,0","01:07:40","01:13:50","230","274"
Cycling,2022-09-23 06:58:21,false,"Rusko Pyöräily","23,63","548","01:08:16","125","143","3,0","--","--","20,8","31,3","91","117","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","11,0","0:00","No","21:28.50","3","26,0","01:06:24","01:10:33","44","95"
Cycling,2022-09-11 18:46:03,false,"Nousiainen Pyöräily","7,39","97","00:21:25","93","113","1,2","--","--","20,7","31,3","17","80","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","18,0","0:00","No","21:25.18","1","24,0","00:21:11","00:21:25","43","131"
Cycling,2022-09-11 15:39:52,false,"Rusko Pyöräily","7,48","129","00:31:07","90","110","1,2","--","--","14,4","24,7","41","69","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","22,0","0:00","No","31:07.20","1","29,0","00:23:48","00:31:07","107","129"
Cycling,2022-09-09 17:08:45,false,"Turku Pyöräily","23,54","426","01:07:26","112","143","2,3","--","--","20,9","40,5","117","94","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","16,0","0:00","No","19:50.98","3","26,0","01:04:35","01:07:26","69","116"
Cycling,2022-09-09 07:09:47,false,"Rusko Pyöräily","23,54","559","01:05:03","128","155","3,4","--","--","21,7","32,2","90","115","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","13,0","0:00","No","21:11.84","3","28,0","01:04:01","01:05:03","23","75"
Cycling,2022-08-25 17:04:39,false,"Turku Pyöräily","23,59","512","01:13:26","119","147","2,8","--","--","19,3","39,0","131","108","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","23,0","0:00","No","22:03.29","3","29,0","01:11:33","01:13:26","31","78"
Cycling,2022-08-25 07:07:26,false,"Rusko Pyöräily","23,84","517","01:02:56","123","152","3,3","--","--","22,7","34,1","97","125","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","14,0","0:00","No","20:14.85","3","28,0","01:01:54","01:02:56","20","73"
Cycling,2022-08-18 15:22:19,false,"Turku Pyöräily","23,59","543","01:06:38","124","169","3,2","--","--","21,2","40,1","118","94","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","27,0","0:00","No","20:21.07","3","31,0","01:03:47","01:06:38","29","74"
Cycling,2022-08-18 07:07:06,false,"Rusko Pyöräily","23,77","607","01:03:16","143","166","4,7","--","--","22,5","35,3","95","119","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","20:26.61","3","28,0","01:02:18","01:03:16","23","72"
Cycling,2022-08-16 16:30:30,false,"Turku Pyöräily","23,50","473","01:08:35","114","149","3,1","--","--","20,6","41,5","114","92","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","27,0","0:00","No","19:04.09","3","34,0","01:04:55","01:08:35","67","114"
